Phorophyte,Tree_structure,Wood_density,Deciduousness,Rugosity,Ornamental,Native/Exotic,lat,long,Tillandsia_schiedeana,Tillandsia_juncea,Pleopeltis_1,Tillandsia_fasciculata,Scaphyglottis_micrantha,Tillandsia_caput-medusae,Prosthechea_livida,Campylocentrum_micranthum,Epidendrum_barbeyanum,Asplenium,Pleurothallis_racemiflora,Polypodium,Vittaria,Phlebodium,Ficus_aurea,Ficus_costaricana,Peperomia_angularis,Catopsis_nutans,Hymenophyllum,Pteridophyta,Epidendrum_oerstedii,Pleopeltis_sp2,Hylocereus_costaricensis,Encyclia_ceratistes,Peperomia_galioides,Anthurium_trinervium,Monstera_deliciosa,Werauhia,Ficus_pertusa,Guarianthe_skinneri,Philodendron_anisotomum,Pitcairnia_heterophylla,Epiphyllum_thomasianum,Rhipsalis_micrantha,Selenicereus_wercklei,Maxillaria
Tabebuia_rosea_07,285.2,0.531,0.42,0.83,1,1,9.939077972,-84.04986598,9,38,65,2,0,1,6,0,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tabebuia_rosea_08,365.9,0.531,0.42,0.95,1,1,9.939129017,-84.05108202,61,47,1,46,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabebuia_rosea_09,246,0.531,0.42,0.92,1,1,9.93548004,-84.05258004,2,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabebuia_rosea_10,361.8,0.531,0.42,0.93,1,1,9.936475977,-84.05092503,6,25,22,26,2,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabebuia_rosea_11,51.9,0.531,0.42,1,1,1,9.936337005,-84.05088999,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tapirira_mexicana_01,1167.3,0.47,0,0.8,0,1,9.936323008,-84.05124698,2,15,40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thevetia_peruviana_01,32,0.41,0,0.98,1,0,9.935732,-84.05128897,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cojoba_arborea_05,3276.9,0.61,0.17,0.9,1,1,9.93708903,-84.04950103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billia_rosea_01,88.5,0.69,0,1,0,1,9.937835019,-84.04969901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persea_amaricana_02,56.6,0.549,0,0.98,1,0,9.937683977,-84.04965299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
