Origin,Phorophyte,Tree_structure,Wood_density,Deciduousness,Rugosity,T_schiedeana,T_juncea,Pleopeltis_1,T_fasciculata,Scaphyglottis,T_caput-medusae,Prosthechea,Campylocentrum,E_barbeyanum,Asplenium,Pleurothallis,Polypodium,Vittaria,Phlebodium,F_jimenezii,F_costaricana,P_angularis,Catopsis,Hymenophyllum,Pteridophyta,E_oerstedii,Pleopeltis_2,Hylocereus,Encyclia,P_galioides,Anthurium,Monstera,Werauhia,F_pertusa,Guarianthe,Philodendron,Pitcairnia,Epiphyllum,Rhipsalis,Selenocerius,Maxillaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Spondias_purpurea_01,297.7,0.33,0.25,0.97,151,29,3,23,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Spondias_purpurea_02,181.3,0.33,0.25,0.93,14,18,3,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Spondias_purpurea_03,169.6,0.33,0.25,0.93,51,37,3,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Syzygium_malaccense_01,749.4,0.562,0,0.99,9,7,17,15,0,0,0,5,7,1,0,0,0,8,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Tabebuia_ochracea_01,89.2,0.8,0.17,0.97,2,16,32,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Tabebuia_rosea_01,656.9,0.531,0.42,0.83,2,33,0,5,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Tabebuia_rosea_02,669.7,0.531,0.42,0.73,47,28,8,5,4,5,2,0,3,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Tabebuia_rosea_03,498.2,0.531,0.42,0.73,48,41,20,4,9,8,2,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Tabebuia_rosea_04,317.3,0.531,0.42,0.73,15,24,18,2,2,1,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Tabebuia_rosea_05,961.2,0.531,0.42,0.73,7,14,5,22,49,0,6,0,14,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Tabebuia_rosea_06,275.0,0.531,0.42,0.9,13,21,6,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Tabebuia_rosea_07,285.2,0.531,0.42,0.83,9,38,65,2,0,1,6,0,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Tabebuia_rosea_08,365.9,0.531,0.42,0.95,61,47,1,46,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Tabebuia_rosea_09,246.0,0.531,0.42,0.92,2,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Tabebuia_rosea_10,361.8,0.531,0.42,0.93,6,25,22,26,2,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Tabebuia_rosea_11,51.9,0.531,0.42,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Tapirira_mexicana_01,1167.3,0.47,0,0.8,2,15,40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Thevetia_peruviana_01,32.0,0.41,0,0.98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Cojoba_arborea_05,3276.9,0.61,0.17,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Billia_rosea_01,88.5,0.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Persea_amaricana_02,56.6,0.549,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
